

Dolni Hermanice 460
Oubenice 178
Nove Branice 717
Horni Vestonice 442
Milhostov 344

Kostelec na Hane 2851
Mikulec 226
Velke Kunetice 635
Ondratice 349
Rakovice 208
Kozarovice 332
Hranicne Petrovice 145
Cehovice 513

Drnovice 2225
Otovice 598
Kotvrdovice 841
Klopotovice 274
Mocovice 325
Chrastovice 251
Zitovlice 138
Stitary 671
Zbelitov 327
Restoky 467
Kosicky 361
Kyselovice 484
Popovice 1091
Hroubovice 327

Trojanovice 2114
Byskovice 387
Vysehorovice 544
Prehysov 583

Prostejov 47374
Starovicky 736
Rovna 619
Okna 282
Cervena Lhota 179
Horni Loucky 282
Litohor 488
Bohutice 612
Mysliborice 709
Lisnice 770
Krasne 145
Krty 103
Dobrochov 264
Sychrov 202
Koneprusy 218
Ruzdka 877
Bukovka 400

Karolinka 2916
Dolni Lukavice 801
Horni Netcice 215

Horka nad Moravou 2101

Budisov nad Budisovkou 3159
Dub nad Moravou 1485
Rana 360
Prackovice nad Labem 538
Vranovice 1934
Cecelovice 159
Bilov 534
Lobec 138
Krechor 406
Bezuchov 174
Bedihost 1002
Jedomelice 344

Jevicko 2886
Moravecke Pavlovice 28
Krasna Hora nad Vltavou 1002

Bystrice nad Pernstejnem 8996

Luka nad Jihlavou 2586

Velka Bites 4843
Oleska 841
Cholina 664
Vidochov 342

Bridlicna 3698
Kricen 238
Celcice 570
Rudice 843
Male Hradisko 403

Mokra Hora 2612
Horni Smrzov 141
Dolni Cermna 1371
Olesnice 1757
Dolni Sloupnice 1729
Uzenice 122
Benetice 191
Markvartice 591
Charvatce 184
Karlov 73
Jablonov 326
Hajany 336
Jirny 1366
Hradcany 492
Vrancice 136
Tvrdkov 245
Svratka 1539
Vrbno nad Lesy 142
Nasavrky 1526
Skasov 230
Vysoka Libyne 237
Snezne 752
Jerisno 313
Chlistovice 693
Hrutov 74
Grunta 90
Sarovcova Lhota 191
Hrusova 343

Moravska Trebova 11414
Doubravnik 819
Lubna 999
Lipina 120
Dobelice 273
Havlickova Borova 957
Techarovice 36
Petrovice Predni 301
Zadni Vydri 50
Vyrava 301
Tresnovy Ujezdec 51
Netrebice 456
Brnenec 1405
Horni Tresnovec 620
Ostretin 955

Ceska Trebova 16655
Bitovany 408
Vitanov 425

Novy Bydzov 7160

Dolni Bousov 2275
Strasov 311
Stribrna 459
Pristpo 280
Predmerice nad Jizerou 650
Chroustov 206
Mala Hrastice 725
Martinice 658
Rehenice 422
Vysehori 203
Vsen 495
Mutenin 252
Vrcen 313
Dolni Roven 1899
Zarovna 110
Barchov 233
Zarecka Lhota 167
Msecke Zehrovice 429
Senice 165
Mnisek 1133
Nedeliste 347
Melnicke Vtelno 816
Pernstejnske Jestrabi 174
Mostek 1360
Nekmir 410
Dubenec 689
Berunice 876
Trebesice 221
Sirejovice 280

Uhlirske Janovice 3058
Lahovice 334
Koberovice 150
Chroustovice 1208
Zduchovice 258
Dunice 69
Rakova u Konice 187
Dvakacovice 153
Machova 525
Zadni Chodov 278
Strachotin 778

Slatinany 4004
Libisany 407
Misov 113
Miretice 1205
Dobrenice 578
Horni Jeleni 1811
Dolni Prim 525

Chrudim 23630
Skuhrov 507
Hodiskov 142
Bonkov 60
Blizkov 326

Hlinsko 10411
Horni Pohled 74
Arnolec 181
Dolni Vilimec 97
Stary Vestec 148
Temesvar 93
Kostenice 494
Ostrovanky 203
Radvanec 118
Ludvikovice 725
Kovanice 730
Vejvanov 201
Chocnejovice 399
Neveklovice 38
Vracovice 372
Techlovice 489
Pozdechov 574
Bozanov 345
Krychnov 102
Novy Hradek 697
Rychnovek 589
Kristanovice 285
Bojiste 231
Domasov u Sternberka 285
Stare Smrkovice 220
Nosovice 979
Drasov 1138
Kasava 886

Ostrozska Nova Ves 3360
Vyskytna nad Jihlavou 672

Moravsky Pisek 2201
Krepice 1254
Reka 456
Preborov 141
Horni Libochova 216
Chodovlice 142
Vrchoslavice 601
Ochoz 200
Vrchy 223
Chuderice 193
Rudikov 674
Druhanov 131
Nove Veseli 1236
Zdanov 119
Bohdalin 230
Nosalov 157
Cernovice 1863
Zasovice 121
Ceckovice 92
Utechovicky 73
Nechvalin 326
Heralec 1269
Klesice 304
Volevcice 95
Unice 41
Kunemil 113
Vemyslice 677
Librantice 425
Radvanice 1090
Nezdenice 794
Hnatnice 818

Mohelnice 9742
Lupenice 247

Jedovnice 2578
Sebestenice 120
Holstejn 156
Vrbatuv Kostelec 336
Steborice 1330

Trebic 38785
Strupcice 639
Cim 245
Zlukov 230
Lubnice 84
Ceske Hermanice 528
Pacerice 259
Palonin 343
Dlouha Loucka 572

Ruda nad Moravou 2490
Ceska Metuje 312
Vetrny Jenikov 577
Strukov 153
Trnov 632
Vystrkov 211
Dobrikov 457
Lichkov 573
Albrechtice nad Orlici 1063
Racetice 237
Ponetovice 314
Krtov 143

Dvur Kralove nad Labem 16150
Zichovec 79
Ctidruzice 323
Brezina 595
Horin 723
Mistrice 1169
Trebenice 1723
Milonice 335
Chotemice 133
Statenice 710

Steti 9165
Kvetna 311
Leskovec 666
Starkov 673
Jarov 232
Psare 116
Hrensko 267
Stenovice 1401
Cicenice 444
Ptenin 222
Lenesice 1298
Kolesov 98
Hrusovany 272
Budisovice 503
Kotovice 272
Hurtova Lhota 222
Turany 487
Jesenny 515
Masojedy 65

Klaster 3034
Domasin 98
Herman 219
Chotimer 261

Touzim 3732

Chomutov 50251
Chotebudice 107
