

Lebedinoe 286

Parizh 1712

Khomutinino 1520
Vodopoyka 804

Rozhdestvenka 1489
Peschanoe 1207
Belozery 771
Kamennaya Rechka 642
Chkalova 140
Rymnikskiy 1244
Rassvetnyy 268
Arkhangel'skoe 904
Deputatskiy 322
Pisklovo 691
Krasnotal 278
Allaki 278
Timino 331
Tomino 121
Korotanovo 198
Nepryakhino 655
Zamotokhina 266
Chuksa 207
Vysokiy 207
Yakupovo 447
Berezovskiy 511
Klyuchi 470
Desyatiletie 321
Spornoe 110
Pchel'nik 34
Shabaltak 51
Chusovskoy 111
Bol'shaya Tyulyakova 371
Bol'shakovo 320
Kotlik 109
Novogeorgievskiy 436
Gagar'e 44
Sayma 37
Syrgaydy 94
Iskra 107
Sagausty 107
Karasevo 9
Gir'yal 30
Bereg 41
Kubagusheva 339
Butyrki 339
Amambayka 262
Krugloe 331
Tashkazgan 293
Musin 158
Kirdy 254
Aybatova 254
Myakon'ki 242
Krupskoe 242
Novovoroninskiy 237
Bigardy 150
Korkodin 146
Cheka 120
Akmulla 120
Goreloe 120
Uprun 120
Morozovka 42
Baytuk 31
Rodnichki 15
Arkaim 15
Kyrmyskaly 15
Urpek 1
